step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms
213,256,139.833,187.940,76.983,168038400,78.95,42.313,20.537
214,256,128.677,155.970,75.536,138768384,78.97,36.414,16.726
215,256,96.874,43.719,79.183,37908480,79.05,11.859,5.833
216,256,90.536,43.757,74.059,29503488,79.12,12.160,4.318
217,256,92.703,48.211,73.560,37502976,79.20,13.824,5.318
218,256,391.509,326.098,285.999,307040256,79.12,67.563,37.947
219,256,119.400,93.888,85.771,80744448,79.17,22.949,10.680
220,256,174.837,311.285,76.111,303267840,79.10,62.990,35.736
221,256,124.023,138.922,77.247,121724928,79.13,31.596,15.179
222,256,140.328,189.368,77.880,179920896,79.13,40.750,21.698
223,256,123.137,99.415,86.409,83816448,79.18,25.979,10.748
224,256,101.167,50.439,79.988,40574976,79.24,15.146,6.033
225,256,125.715,106.360,86.417,93437952,79.29,27.452,11.845
226,256,127.960,114.510,85.017,102076416,79.32,30.006,12.936
227,256,319.792,189.242,257.709,166182912,79.32,41.140,20.944
228,256,124.969,129.197,80.056,115580928,79.35,30.629,14.284
229,256,160.441,257.591,78.409,237539328,79.32,54.427,27.605
230,256,92.011,29.136,80.573,14954496,79.40,8.725,2.714
231,256,112.751,70.603,85.297,60051456,79.45,19.400,8.054
232,256,155.462,231.201,82.140,220729344,79.43,46.452,26.870
233,256,152.322,204.056,83.971,192208896,79.42,45.292,23.058
234,256,140.843,178.600,82.729,166416384,79.42,37.477,20.637
235,256,168.395,270.667,82.959,259276800,79.37,54.568,30.869
236,256,129.995,119.942,87.762,101437440,79.41,29.407,12.825
237,256,135.468,131.849,93.022,109842432,79.44,28.417,14.028
238,256,104.595,54.743,83.614,45907968,79.50,14.738,6.243
239,256,135.130,124.364,92.549,109436928,79.53,27.942,14.639
240,256,93.503,34.629,80.724,28692480,79.60,8.259,4.520
241,256,111.669,86.588,79.162,74194944,79.64,22.433,10.074
242,256,120.792,108.357,80.569,97554432,79.68,27.857,12.365
243,256,176.059,216.493,102.915,181776384,79.67,50.902,22.242
244,256,150.975,140.934,100.829,118480896,79.69,33.490,16.656
245,256,512.908,275.077,411.945,229478400,79.67,64.437,36.527
246,256,177.130,250.174,96.112,236494848,79.64,50.072,30.946
247,256,168.467,217.959,94.234,202469376,79.62,49.333,24.900
248,256,130.964,101.539,92.165,87699456,79.66,26.871,11.928
249,256,115.167,67.038,90.005,55123968,79.71,17.098,8.064
250,256,102.321,30.563,89.728,20692992,79.78,8.956,3.637
251,256,170.327,230.363,94.074,219045888,79.76,49.517,26.735
252,256,150.338,147.174,96.721,133607424,79.78,35.611,18.005
253,256,123.113,65.146,96.389,51240960,79.83,19.383,7.341
254,256,99.227,27.838,87.723,21098496,79.90,7.776,3.728
255,256,130.994,115.428,88.950,99176448,79.93,29.457,12.587
256,256,122.316,83.283,90.150,71294976,79.97,22.063,10.103
# summary tokens=256 s/tok=0.143 tok/s=7.010 read_MiB=35213.8 io_s=40.15 compute_s/tok=0.090 io_s/tok=0.157 cache_hit_pct=80.0 n_prompt=34 load_s=11.185 prefill_s=8.865 prefill_tps=3.84 stall_s/tok=0.036 mgmt_s/tok=0.017 cache_resident_MiB=3998.6 cache_budget_MiB=4000.0 cache_resizes=0 spec_read_MiB=0.0 spec_experts=0 spec_useful=0
