step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms
235,256,198.863,178.770,120.666,129978368,82.32,62.574,15.622
236,256,173.321,114.648,123.434,91762688,82.35,39.088,10.798
237,256,208.943,184.061,127.291,136577024,82.37,65.559,16.093
238,256,190.875,190.809,113.242,140926976,82.38,60.715,16.919
239,256,199.209,159.133,127.626,109133824,82.41,58.831,12.752
240,256,201.157,182.355,129.092,136568832,82.42,55.993,16.071
241,256,447.817,181.450,378.836,127250432,82.44,52.570,16.412
242,256,210.626,186.556,126.549,129380352,82.45,68.820,15.257
243,256,312.566,417.486,170.221,296026112,82.40,108.321,34.024
244,256,209.235,183.694,132.997,130854912,82.42,60.123,16.115
245,256,188.648,100.173,135.774,77352960,82.45,44.330,8.543
246,256,162.392,69.870,128.970,53514240,82.50,26.453,6.969
247,256,138.976,38.960,114.107,36118528,82.56,20.140,4.729
248,256,176.928,137.065,113.789,104046592,82.58,50.191,12.948
249,256,166.684,128.004,111.879,97574912,82.61,42.651,12.154
250,256,202.847,170.248,129.487,130764800,82.62,57.936,15.425
251,256,199.249,138.440,132.918,103297024,82.65,54.177,12.154
252,256,142.696,72.664,112.277,55738368,82.70,22.988,7.431
253,256,150.155,56.754,123.348,36122624,82.75,21.927,4.880
254,256,235.725,195.731,147.742,138674176,82.76,72.724,15.258
255,256,149.248,63.583,118.132,52027392,82.80,24.102,7.014
256,256,205.426,60.480,170.207,41213952,82.85,29.042,6.178
# summary tokens=256 s/tok=0.210 tok/s=4.755 read_MiB=34014.8 io_s=48.95 compute_s/tok=0.134 io_s/tok=0.191 cache_hit_pct=82.9 n_prompt=42 load_s=15.251 prefill_s=15.541 prefill_tps=2.70 stall_s/tok=0.060 mgmt_s/tok=0.016 cache_resident_MiB=3997.3 cache_budget_MiB=4000.0 cache_resizes=0 spec_read_MiB=0.0 spec_experts=0 spec_useful=0
